id;name;start_date;end_date;location;max_teams
1;Panama;2024-03-01T13:10:11;2024-02-29T22:19:50;payment Fantastic Usability;30
2;Consultant;2024-02-29T17:24:49;2024-02-29T20:57:12;reintermediate;11
3;Investment;2024-03-01T05:43:27;2024-02-29T19:55:50;User-centric monitor;23
4;monitor Baby ivory;2024-03-01T07:15:52;2024-03-01T04:14:03;Martinique Sleek;29
5;niches Extension Product;2024-03-01T09:21:00;2024-03-01T01:44:05;blue;24
6;Wooden approach;2024-03-01T06:38:59;2024-02-29T23:54:16;B2B olive;22
7;standardization cross-platform Small;2024-02-29T20:02:16;2024-02-29T22:43:05;state Usability;23
8;program;2024-03-01T02:41:23;2024-03-01T11:13:22;Sports fuchsia Enterprise-wide;30
9;online;2024-03-01T15:22:34;2024-03-01T15:24:05;payment Tugrik mesh;15
10;XSS Illinois XSS;2024-03-01T08:22:47;2024-03-01T00:27:50;haptic;4
